170  326.142  224.813  225.378  2023.95  1.86237
171  326.136  224.813  225.381  2023.96  1.86237
172  326.151  224.832  225.4  2023.96  1.86237
173  326.165  224.827  225.395  2023.93  1.86237
174  326.155  224.838  225.406  2023.96  1.86237
175  326.177  224.851  225.417  2023.95  1.86236
176  326.202  224.878  225.444  2023.96  1.86235
177  326.213  224.891  225.457  2023.95  1.86235
178  326.227  224.896  225.464  2023.94  1.86235
179  326.208  224.887  225.457  2023.96  1.86234
180  326.249  224.883  225.449  2023.9  1.86234
181  326.28  224.879  225.445  2023.88  1.86235
182  326.181  224.877  225.444  2023.96  1.86234
183  326.211  224.879  225.441  2023.93  1.86231
184  326.207  224.87  225.437  2023.94  1.86234
185  326.24  224.92  225.487  2023.96  1.86235
186  326.275  224.956  225.521  2023.95  1.86235
187  326.326  224.986  225.551  2023.92  1.86236
188  326.194  224.855  225.421  2023.94  1.86235
189  326.203  224.872  225.437  2023.94  1.86234
190  326.211  224.873  225.438  2023.94  1.86236
191  326.198  224.875  225.438  2023.95  1.86236
192  326.193  224.869  225.433  2023.95  1.86236
193  326.208  224.873  225.435  2023.93  1.86236
194  326.21  224.879  225.443  2023.93  1.86235
195  326.218  224.879  225.441  2023.93  1.86234
196  326.208  224.878  225.44  2023.94  1.86233
197  326.168  224.878  225.442  2023.98  1.86232
198  326.239  224.898  225.462  2023.93  1.86233
