#38Ca!
19.5 20.4 1.896 1.9
#39Ca                
19.5 20.5 1.9465 1.9495
                   
#40Sc              
20.4 21.5 1.90151 1.905
#41Sc                
20.5 21.5 1.949 1.95157

#39Ti 
21.3 22.5 1.76 1.78
#40Ti 
21.3 22.5 1.814 1.82
#41Ti
21.3 22.5 1.86 1.865
#42Ti              
21.3 22.5 1.905 1.91
#43Ti              
21.3 22.5 1.9512 1.9538

#43V                 
22.3 23.4 1.866 1.8711
#44V                 
22.5 23.4 1.91 1.9135
#45V 
22.5 23.5 1.9535 1.9557

#42Cr               
23.4 24.3 1.74 1.75
#43Cr               
23.4 24.3 1.78 1.8
#44Cr               
23.4 24.3 1.83 1.835
#45Cr  
23.4 24.3 1.872 1.8755
#46Cr                 
23.4 24.3 1.913 1.917 
#47Cr 
23.4 24.3 1.9553 1.958

#46Mn                
24.4 25.5 1.835 1.842
#47Mn                
24.4 25.5 1.876 1.881
#48Mn                
24.4 25.5 1.917 1.912
#49Mn 
24.5 25.5 1.9572 1.9586

#45Fe                
25.5 26.5 1.71 1.74
#46Fe                
25.4 26.5 1.76 1.78
#47Fe                
25.5 26.5 1.8 1.81
#48Fe                
25.5 26.5 1.842 1.847
#49Fe                
25.5 26.5 1.88 1.886
#50Fe  
25.5 26.5 1.92 1.924

#50Co                
26.5 27.5 1.886 1.89
#51Co                
26.5 27.5 1.847 1.853

#49Ni                
27.3 28.5 1.735 1.755
#50Ni                
27.3 28.5 1.78 1.79
#51Ni                
27.3 28.5 1.81 1.83
#52Ni                
27.3 28.5 1.854 1.857








