0            0 1. 1.000000
0      14017.9 1. 1.000000
0      28035.8 1. 1.000000
0      42053.7 1. 1.027027
0      56071.6 1. 1.055556
0      70089.4 1. 1.187500
0      84107.3 1. 1.187500
0      98125.2 1. 1.187500
0       112143 1. 1.151515
0       126161 1. 1.117647
0       140179 1. 1.117647
0       154197 1. 1.117647
0       168215 1. 1.085714
0       182233 1. 1.085714
0       196250 1. 1.055556
0       210268 1. 1.027027
0       224286 1. 1.027027
0       238304 1. 1.055556
0       252322 1. 1.085714
0       266340 1. 1.085714
0       280358 1. 1.085714
0       294376 1. 1.027027
0       308394 1. 1.027027
0       322411 1. 1.055556
0       336429 1. 1.357143
0       350447 1. 1.407407
0       364465 1. 1.407407
0       378483 1. 1.407407
0       392501 1. 1.407407
0       406519 1. 1.085714
0       420537 1. 1.055556
0       434555 1. 1.055556
0       448572 1. 1.055556
0       462590 1. 1.055556
0       476608 1. 1.085714
0       490626 1. 1.085714
0       504644 1. 1.117647
0       518662 1. 1.117647
0       532680 1. 1.117647
0       546698 1. 1.117647
0       560716 1. 1.151515
0       574733 1. 1.310345
0       588751 1. 1.310345
0       602769 1. 1.266667
0       616787 1. 1.266667
0       630805 1. 1.266667
0       644823 1. 1.266667
0       658841 1. 1.266667
0       672859 1. 1.266667
0       686877 1. 1.187500
0       700894 1. 1.151515
0       714912 1. 1.117647
0       728930 1. 1.117647
0       742948 1. 1.151515
0       756966 1. 1.151515
0       770984 1. 1.225806
0       785002 1. 1.266667
0       799020 1. 1.266667
0       813038 1. 1.266667
0       827056 1. 1.266667
0       841073 1. 1.266667
0       855091 1. 1.310345
0       869109 1. 1.310345
0       883127 1. 1.357143
0       897145 1. 1.357143
0       911163 1. 1.357143
0       925181 1. 1.266667
0       939199 1. 1.187500
0       953217 1. 1.117647
0       967234 1. 1.117647
0       981252 1. 1.117647
0       995270 1. 1.117647
0   1.00929e+06 1. 1.151515
0   1.02331e+06 1. 1.225806
0   1.03732e+06 1. 1.266667
0   1.05134e+06 1. 1.310345
0   1.06536e+06 1. 1.310345
0   1.07938e+06 1. 1.310345
0   1.0934e+06 1. 1.357143
0   1.10741e+06 1. 1.357143
0   1.12143e+06 1. 1.407407
0   1.13545e+06 1. 1.520000
0   1.14947e+06 1. 1.520000
0   1.16348e+06 1. 1.461538
0   1.1775e+06 1. 1.407407
0   1.19152e+06 1. 1.407407
0   1.20554e+06 1. 1.407407
0   1.21956e+06 1. 1.407407
0   1.23357e+06 1. 1.407407
0   1.24759e+06 1. 1.461538
