# 90.8 deg
3.481667 4.608333 8.09
3.47653 4.623470 8.1
3.471418 4.638582 8.11
3.466322 4.653678 8.12
3.461251 4.668749 8.13
3.456201 4.683799 8.14
3.451173 4.698827 8.15
3.446165 4.713835 8.16
3.441177 4.728823 8.17
3.436209 4.743791 8.18
3.431266 4.758734 8.19
3.42634 4.773660 8.2
3.421434 4.788566 8.21
3.416547 4.803453 8.22
3.411685 4.818315 8.23
3.406839 4.833161 8.24
3.402012 4.847988 8.25
3.397205 4.862795 8.26
3.392419 4.877581 8.27
3.387651 4.892349 8.28
3.382903 4.907097 8.29
3.378172 4.921828 8.3
3.373461 4.936539 8.31
3.368769 4.951231 8.32
3.364095 4.965905 8.33
3.359438 4.980562 8.34
3.354801 4.995199 8.35
3.350183 5.009817 8.36
3.34558 5.024420 8.37
3.340996 5.039004 8.38
3.336431 5.053569 8.39
3.331882 5.068118 8.4
3.327352 5.082648 8.41
3.322838 5.097162 8.42
3.318341 5.111659 8.43
3.313862 5.126138 8.44
3.3094 5.140600 8.45
3.304954 5.155046 8.46
3.300525 5.169475 8.47
3.296113 5.183887 8.48
3.291718 5.198282 8.49
3.287338 5.212662 8.5
3.282974 5.227026 8.51
3.278626 5.241374 8.52
3.274296 5.255704 8.53
3.269982 5.270018 8.54
3.265682 5.284318 8.55
3.261399 5.298601 8.56
3.257131 5.312869 8.57
3.252879 5.327121 8.58
3.248641 5.341359 8.59
3.24442 5.355580 8.6
3.240215 5.369785 8.61
3.236024 5.383976 8.62
3.231847 5.398153 8.63
3.227685 5.412315 8.64
3.223539 5.426461 8.65
3.219406 5.440594 8.66
3.215289 5.454711 8.67
3.211186 5.468814 8.68
3.207099 5.482901 8.69
3.203024 5.496976 8.7
3.198965 5.511035 8.71
3.194919 5.525081 8.72
3.190888 5.539112 8.73
3.186869 5.553131 8.74
3.182866 5.567134 8.75
3.178874 5.581126 8.76
3.174899 5.595101 8.77
3.170938 5.609062 8.78
3.166988 5.623012 8.79
3.163053 5.636947 8.8
3.15913 5.650870 8.81
3.155221 5.664779 8.82
3.151325 5.678675 8.83
3.147442 5.692558 8.84
3.143574 5.706426 8.85
3.139718 5.720282 8.86
3.135875 5.734125 8.87
3.132042 5.747958 8.88
3.128224 5.761776 8.89
3.124419 5.775581 8.9
3.120627 5.789373 8.91
3.116845 5.803155 8.92
3.113077 5.816923 8.93
3.109322 5.830678 8.94
3.10558 5.844420 8.95
3.101848 5.858152 8.96
3.098129 5.871871 8.97
3.094424 5.885576 8.98
3.090727 5.899273 8.99
3.087044 5.912956 9.0
3.083373 5.926627 9.01
3.079712 5.940288 9.02
3.076066 5.953934 9.03
3.07243 5.967570 9.04
3.068806 5.981194 9.05
3.065193 5.994807 9.06
3.061593 6.008407 9.07
3.058001 6.021999 9.08
3.054423 6.035577 9.09
3.050856 6.049144 9.1
3.047301 6.062699 9.11
3.043755 6.076245 9.12
3.040221 6.089779 9.13
3.036697 6.103303 9.14
3.033186 6.116814 9.15
3.029683 6.130317 9.16
3.026194 6.143806 9.17
3.022714 6.157286 9.18
3.019247 6.170753 9.19
3.015787 6.184213 9.2
3.01234 6.197660 9.21
3.008903 6.211097 9.22
3.005477 6.224523 9.23
3.002061 6.237939 9.24
2.998654 6.251346 9.25
2.995258 6.264742 9.26
2.991873 6.278127 9.27
2.988499 6.291501 9.28
2.985135 6.304865 9.29
2.981778 6.318222 9.3
2.978433 6.331567 9.31
2.9751 6.344900 9.32
2.971775 6.358225 9.33
2.968458 6.371542 9.34
2.965153 6.384847 9.35
2.96186 6.398140 9.36
2.958573 6.411427 9.37
2.955296 6.424704 9.38
2.95203 6.437970 9.39
2.948774 6.451226 9.4
2.945526 6.464474 9.41
2.942288 6.477712 9.42
2.939058 6.490942 9.43
2.935841 6.504159 9.44
2.932631 6.517369 9.45
2.929429 6.530571 9.46
2.926238 6.543762 9.47
2.923058 6.556942 9.48
2.919884 6.570116 9.49
2.916721 6.583279 9.5
2.913564 6.596436 9.51
2.910419 6.609581 9.52
2.907283 6.622717 9.53
2.904154 6.635846 9.54
2.901035 6.648965 9.55
2.897924 6.662076 9.56
2.894823 6.675177 9.57
2.891731 6.688269 9.58
2.888646 6.701354 9.59
2.88557 6.714430 9.6
2.882504 6.727496 9.61
2.879446 6.740554 9.62
2.876396 6.753604 9.63
2.873353 6.766647 9.64
2.870322 6.779678 9.65
2.867296 6.792704 9.66
2.86428 6.805720 9.67
2.861272 6.818728 9.68
2.858272 6.831728 9.69
2.855283 6.844717 9.7
2.852299 6.857701 9.71
2.849323 6.870677 9.72
2.846357 6.883643 9.73
2.843397 6.896603 9.74
2.840448 6.909552 9.75
2.837505 6.922495 9.76
2.834569 6.935431 9.77
2.831644 6.948356 9.78
2.828725 6.961275 9.79
2.825813 6.974187 9.8
2.822909 6.987091 9.81
2.820013 6.999987 9.82
2.817127 7.012873 9.83
2.814246 7.025754 9.84
2.811373 7.038627 9.85
2.808508 7.051492 9.86
2.805651 7.064349 9.87
2.8028 7.077200 9.88
2.799958 7.090042 9.89
2.797124 7.102876 9.9
2.794296 7.115704 9.91
2.791476 7.128524 9.92
2.788663 7.141337 9.93
2.785857 7.154143 9.94
2.783059 7.166941 9.95
2.780266 7.179734 9.96
2.777483 7.192517 9.97
2.774707 7.205293 9.98
2.771937 7.218063 9.99
2.769173 7.230827 10.0
2.766416 7.243584 10.01
2.763667 7.256333 10.02
2.760926 7.269074 10.03
2.758191 7.281809 10.04
2.755462 7.294538 10.05
2.75274 7.307260 10.06
2.750026 7.319974 10.07
2.747319 7.332681 10.08
2.744618 7.345382 10.09
2.741922 7.358078 10.1
2.739236 7.370764 10.11
2.736553 7.383447 10.12
2.733878 7.396122 10.13
2.731211 7.408789 10.14
2.728549 7.421451 10.15
2.725894 7.434106 10.16
2.723245 7.446755 10.17
2.720602 7.459398 10.18
2.717969 7.472031 10.19
2.715338 7.484662 10.2
2.712714 7.497286 10.21
2.710098 7.509902 10.22
2.707488 7.522512 10.23
2.70488 7.535120 10.24
2.702284 7.547716 10.25
2.699691 7.560309 10.26
2.697104 7.572896 10.27
2.694525 7.585475 10.28
2.691949 7.598051 10.29
2.68938 7.610620 10.3
2.686818 7.623182 10.31
2.684263 7.635737 10.32
2.681712 7.648288 10.33
2.679166 7.660834 10.34
2.676627 7.673373 10.35
2.674095 7.685905 10.36
2.671569 7.698431 10.37
2.669047 7.710953 10.38
2.666531 7.723469 10.39
2.664025 7.735975 10.4
2.66152 7.748480 10.41
2.65902 7.760980 10.42
