-3.34 	-26.30 	-15.90	
12.76 	-23.24 	-15.90	
23.98 	-11.31 	-15.90	
26.05 	4.95 	-15.90	
18.16 	19.32 	-15.90	
3.34 	26.30 	-15.90	
-12.76 	23.24 	-15.90	
-23.98 	11.31 	-15.90	
-26.05 	-4.95 	-15.90	
-18.16 	-19.32 	-15.90	
4.95 	-26.05 	-10.90	
19.32 	-18.16 	-10.90	
26.3 	-3.34 	-10.90	
23.24 	12.76 	-10.90	
11.31 	23.98 	-10.90	
-4.95 	26.05 	-10.90	
-19.32 	18.16 	-10.90	
-26.3 	3.34 	-10.90	
-23.24 	-12.76 	-10.90	
-11.31 	-23.98 	-10.90	
-0.57 	-31.6 	-5.90 	
15.3 	-27.65 	-5.90 	
27.08 	-16.3 	-5.90 	
31.6 	-0.57 	-5.90 	
27.65 	15.3 	-5.90 	
16.3 	27.08 	-5.90 	
0.57 	31.6 	-5.90 	
-15.3 	27.65 	-5.90 	
-27.08 	16.3 	-5.90 	
-31.6 	0.57 	-5.90 	
-27.65 	-15.3 	-5.90 	
-16.3 	-27.08 	-5.90 	
-0.56 	-35.08 	-0.90 	
14.72 	-31.85 	-0.90 	
27.08 	-22.31 	-0.90 	
34.07 	-8.35 	-0.90 	
34.32 	7.26 	-0.90 	
27.77 	21.43 	-0.90 	
15.72 	31.36 	-0.90 	
0.56 	35.08 	-0.90 	
-14.72 	31.85 	-0.90 	
-27.08 	22.31 	-0.90 	
-34.07 	8.35 	-0.90 	
-34.32 	-7.26 	-0.90 	
-27.77 	-21.43 	-0.90 	
-15.72 	-31.36 	-0.90 	
8.3 	-40.14 	4.34  	
23.9 	-31.22 	4.34  	
33.57 	-22.3 	4.34  	
38.54 	-13.38 	4.34  	
40.46 	-4.46 	4.34  	
40.46 	4.46 	4.34  	
38.54 	13.38 	4.34  	
33.57 	22.3 	4.34  	
23.9 	31.22 	4.34  	
8.3 	40.14 	4.34  	
-8.3 	40.14 	4.34  	
-23.9 	31.22 	4.34  	
-33.57 	22.3 	4.34  	
-38.54 	13.38 	4.34  	
-40.46 	4.46 	4.34  	
-40.46 	-4.46 	4.34  	
-38.54 	-13.38 	4.34  	
-33.57 	-22.3 	4.34  	
-23.9 	-31.22 	4.34  	
-8.3 	-40.14 	4.34  	
8.3 	-40.14 	10.34 	
23.9 	-31.22 	10.34 	
33.57 	-22.3 	10.34 	
38.54 	-13.38 	10.34 	
40.77 	-4.46 	10.34 	
40.77 	4.46 	10.34 	
38.54 	13.38 	10.34 	
33.57 	22.3 	10.34 	
23.9 	31.22 	10.34 	
8.3 	40.14 	10.34 	
-8.3 	40.14 	10.34 	
-23.9 	31.22 	10.34 	
-33.57 	22.3 	10.34 	
-38.54 	13.38 	10.34 	
-40.77 	4.46 	10.34 	
-40.77 	-4.46 	10.34 	
-38.54 	-13.38 	10.34 	
-33.57 	-22.3 	10.34 	
-23.9 	-31.22 	10.34 	
-8.3 	-40.14 	10.34 	
8.3 	-40.14 	16.34 	
23.9 	-31.22 	16.34 	
33.57 	-22.3 	16.34 	
38.54 	-13.38 	16.34 	
40.77 	-4.46 	16.34 	
40.77 	4.46 	16.34 	
38.54 	13.38 	16.34 	
33.57 	22.3 	16.34 	
23.9 	31.22 	16.34 	
8.3 	40.14 	16.34 	
-8.3 	40.14 	16.34 	
-23.9 	31.22 	16.34 	
-33.57 	22.3 	16.34 	
-38.54 	13.38 	16.34 	
-40.77 	4.46 	16.34 	
-40.77 	-4.46 	16.34 	
-38.54 	-13.38 	16.34 	
-33.57 	-22.3 	16.34 	
